"experiment","Group","senID","item","type","condition","sentence","selection","ID","w1","w2","w3"
"posterior","B","21","PO-B-21","possessor","ta","王刚说张伟把他的工作做完了。","Speaker","9e78-1ad4-5107-236a","wanggang.png","zhangwei.png","other.png"
"posterior","B","14","PO-B-14","co-argument","ziji","张伟说李华把自己弄骨折了。","Others","9e78-1ad4-5107-236a","zhangwei.png","lihua.png","other.png"
"posterior","B","2","PO-B-2","co-argument","ziji","李华说王刚把自己出卖了。","Clause Subject","9e78-1ad4-5107-236a","lihua.png","wanggang.png","other.png"
"posterior","B","17","PO-B-17","possessor","ziji","小明说李华把自己的演讲稿修改好了。","Clause Subject","9e78-1ad4-5107-236a","xiaoming.png","lihua.png","other.png"
"posterior","B","18","PO-B-18","possessor","ta","小明说张伟把他的想法忘记了。","Clause Subject","9e78-1ad4-5107-236a","xiaoming.png","zhangwei.png","other.png"
"posterior","B","8","PO-B-8","co-argument","ziji","小明说李华把自己绊倒了。","Clause Subject","9e78-1ad4-5107-236a","xiaoming.png","lihua.png","other.png"
"posterior","B","26","PO-B-26","possessor","ziji","李华说小明把自己的玩具模型弄坏了。","Speaker","9e78-1ad4-5107-236a","lihua.png","xiaoming.png","other.png"
"posterior","B","25","PO-B-25","possessor","taziji","李华说张伟把他自己的小狗找回来了。","Clause Subject","9e78-1ad4-5107-236a","lihua.png","zhangwei.png","other.png"
"posterior","B","5","PO-B-5","co-argument","ziji","小明说李华把自己弄伤了。","Speaker","9e78-1ad4-5107-236a","xiaoming.png","lihua.png","other.png"
"posterior","B","16","PO-B-16","possessor","taziji","小明说王刚把他自己的照片发到了朋友圈。","Speaker","9e78-1ad4-5107-236a","xiaoming.png","wanggang.png","other.png"
"posterior","B","24","PO-B-24","possessor","ta","李华说王刚把他的证件弄丢了。","Clause Subject","9e78-1ad4-5107-236a","lihua.png","wanggang.png","other.png"
"posterior","B","3","PO-B-3","co-argument","ta","李华说王刚把他照顾得很好。","Clause Subject","9e78-1ad4-5107-236a","lihua.png","wanggang.png","other.png"
